loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./payload2015_2017/models/32model,41.98889,42.05,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.913361,0.764423,0.210526,7
./payload2015_2017/models/32model,41.98889,42.05,-87.66667,-87.58889,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.903155,0.845794,0.15,7
./payload2015_2017/models/32model,41.98889,42.05,-87.66667,-87.58889,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.886862,0.707317,0.235294,7
./payload2015_2017/models/0model,41.62222,41.68333,-87.74444,-87.66667,HOMICIDE-ASSAULT-BATTERY,VAR,31,0.785675,0.488722,0.419753,7
./payload2015_2017/models/0model,41.62222,41.68333,-87.74444,-87.66667,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,VAR,31,0.773907,0.470588,0.448276,7
./payload2015_2017/models/0model,41.62222,41.68333,-87.74444,-87.66667,VAR,VAR,31,0.816309,0.622222,0.377778,7
./payload2015_2017/models/0model,41.62222,41.68333,-87.74444,-87.66667,ALL,VAR,31,0.830367,0.601504,0.348315,7
./payload2015_2017/models/1model,41.62222,41.68333,-87.58889,-87.51111,HOMICIDE-ASSAULT-BATTERY,VAR,31,0.974696,0.919831,0.0,7
./payload2015_2017/models/1model,41.62222,41.68333,-87.58889,-87.51111,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,VAR,31,0.909375,0.844156,0.25,7
./payload2015_2017/models/1model,41.62222,41.68333,-87.58889,-87.51111,VAR,VAR,31,0.903381,0.771845,0.2,7
./payload2015_2017/models/1model,41.62222,41.68333,-87.58889,-87.51111,ALL,VAR,31,0.960259,0.904348,0.0833333,7
./payload2015_2017/models/2model,41.74444,41.80556,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,VAR,31,0.5,-1.0,-1.0,7
